file,AUC_original,AUC_KNN,AUC_kmeans,AUC_SMR,AUC_SVDD,AUC_combine,Recall_original,Recall_KNN,Recall_kmeans,Recall_SMR,Recall_SVDD,Recall_combine,Brier_original,Brier_KNN,Brier_kmeans,Brier_SMR,Brier_SVDD,Brier_combine,popt_original,popt_KNN,popt_kmeans,popt_SMR,popt_SVDD,popt_combine,pf_original,pf_KNN,pf_kmeans,pf_SMR,pf_SVDD,pf_combine
camel-1.2.csv,0.615508592,0.682117823,0.673485165,0.617501969,0.606607458,0.639144679,0.114614122,0.23493101,0.541672573,0.098192771,0.128991597,0.115384615,0.217955297,0.226148492,0.234508843,0.217978136,0.220196641,0.217635867,0.491738536,0.560486786,0.559745827,0.526758664,0.529366686,0.511961561,0.035842755,0.055946792,0.304913077,0.022829861,0.179213772,0.034484399
derby-10.2.1.6.csv,0.774103737,0.794382962,0.791060288,0.77539615,0.721285135,0.775427911,0.452835995,0.518884779,0.660371614,0.456562224,0.376551783,0.468310802,0.175462595,0.17564574,0.185950126,0.176980804,0.1889743,0.179112521,0.439090967,0.460399849,0.445168768,0.451153708,0.43933197,0.437901468,0.113817437,0.119536285,0.209712397,0.110972762,0.16822657,0.123462886
derby-10.3.1.4.csv,0.776955977,0.797834705,0.795637633,0.775921087,0.778192884,0.781709988,0.368193211,0.453613946,0.591259155,0.404860291,0.360419454,0.39061245,0.167919112,0.165509165,0.173858515,0.168595919,0.166211779,0.165376942,0.429069816,0.48401393,0.456782146,0.43187348,0.433677136,0.427316161,0.075107361,0.090508933,0.15960644,0.094949004,0.101435051,0.08059349
eclipse34_debug.csv,0.779783844,0.793026753,0.789755762,0.77684478,0.781181054,0.785988997,0.223928378,0.333333333,0.428571429,0.081772635,0.217916492,0.25,0.151204587,0.152155272,0.153882293,0.156448484,0.152071544,0.151914134,0.417116193,0.486175596,0.432355609,0.419827096,0.432997015,0.424025493,0.037230266,0.047377462,0.098315382,0.016021697,0.083633502,0.04414376
prop-1-164.csv,0.817494754,0.814158858,0.829105473,0.828190313,0.80818609,0.823912418,0.163268026,0.288695896,0.368852459,0.080758088,0.151080827,0.102129509,0.063186279,0.059683745,0.056824536,0.065684451,0.06503911,0.064878889,0.622773822,0.686702974,0.61109759,0.667136,0.622494936,0.618967782,0.004144237,0.00588242,0.012837086,0,0.012690501,0.00261672
prop-1-44.csv,0.950551832,0.956474996,0.970283839,0.959213117,0.949702436,0.957183634,0.290540541,0.372377975,0.514492754,0.17984375,0.145886108,0.279993652,0.052519129,0.046287523,0.037573039,0.053889064,0.055563393,0.051506284,0.760270698,0.793272751,0.750981615,0.82491567,0.741267809,0.785575846,0.004451039,0.005826685,0.009510125,0.000742115,0.012086121,0.00372037
prop-1-92.csv,0.836202738,0.888267489,0.890838798,0.825951427,0.83524201,0.836880105,0.583507671,0.718783034,0.804801824,0.49428858,0.577022838,0.611473813,0.159741539,0.12572782,0.13162219,0.164326306,0.160359491,0.157862256,0.621871495,0.725135699,0.618281623,0.713163681,0.649970114,0.598008632,0.116823061,0.108866579,0.162007003,0.088014635,0.112575709,0.127624799
prop-2-256.csv,0.865773273,0.920105347,0.914171717,0.863196131,0.87182046,0.870399686,0.509773878,0.728813559,0.812496263,0.587760724,0.514706142,0.502057753,0.143089241,0.100906967,0.110627838,0.144656113,0.142085666,0.142443524,0.694729425,0.779356583,0.724446038,0.73724707,0.72647609,0.705860489,0.063893654,0.076336156,0.123630832,0.085106701,0.079488365,0.056098563
prop-3-318.csv,0.960199017,0.967533741,0.969031656,0.953823893,0.960205595,0.960477833,0.452747378,0.603826108,0.72,0.381510345,0.421086815,0.45166738,0.060091689,0.052890661,0.048636858,0.069000163,0.062122109,0.060538244,0.83862444,0.858690291,0.828401171,0.785825312,0.830359611,0.827442639,0.009114723,0.017427057,0.034391595,0.011659988,0.030183727,0.00773201
prop-4-355.csv,0.839496323,0.900240443,0.899869692,0.833556138,0.841696405,0.836319267,0.446039948,0.688057041,0.770801364,0.405681013,0.451499572,0.446169404,0.157494796,0.117638974,0.122602089,0.161516084,0.156756297,0.157049127,0.606855099,0.718425101,0.621736256,0.706924079,0.632919719,0.594108879,0.067759977,0.090774828,0.132299134,0.055516042,0.0967493,0.069064891
prop-5-121.csv,0.812444893,0.833297546,0.831297546,0.817505833,0.819249729,0.814707944,0.096255549,0.202380952,0.353117295,0.092385378,0.084429825,0.107030548,0.090862585,0.087113375,0.084080362,0.090011514,0.08940996,0.088924295,0.577228808,0.661919559,0.574232586,0.582854848,0.581350259,0.582806755,0.003565062,0.006769728,0.02612604,0.003661389,0.020550266,0.004533106
prop-5-157.csv,0.791470364,0.807184861,0.782184861,0.805967883,0.810209913,0.805267125,0.114793679,0.172661871,0.313868613,0.081091583,0.110290524,0.113821138,0.093912991,0.097285809,0.095223555,0.093986274,0.092741961,0.092148808,0.487296641,0.508424178,0.492092574,0.491880016,0.493293928,0.485272543,0.006749156,0.007851997,0.034957627,0.0043127,0.026214775,0.006500664
prop-5-185.csv,0.830174457,0.838029056,0.815529131,0.837653634,0.838975365,0.822640323,0.064665472,0.100561798,0.137552521,0.069444444,0.044466403,0.060790835,0.062302327,0.063618225,0.064533148,0.062168165,0.061854835,0.062370329,0.566164627,0.630884583,0.563263717,0.598958806,0.580423028,0.558440979,0.00184588,0.004537205,0.006962576,0.002650179,0.000907441,0.001834864
prop-5-4.csv,0.794826641,0.810684421,0.790684421,0.815089704,0.817109643,0.818563386,0.038095238,0.199009901,0.278350515,0,0.056127271,0.034095312,0.063411387,0.056309554,0.054222682,0.062624026,0.061438754,0.061625163,0.574055022,0.709605241,0.613741838,0.598347754,0.604372517,0.64342127,0,0.001694915,0.0075,0,0.010407632,0.000852886
prop-5-40.csv,0.941536789,0.931418208,0.926870554,0.94352073,0.944816572,0.945572413,0.390668571,0.431818182,0.552405884,0.355201863,0.391795739,0.389846743,0.058358906,0.06132484,0.054984643,0.059627871,0.056502828,0.057382455,0.776136101,0.787918726,0.767920048,0.784078995,0.792300263,0.785897182,0.004067049,0.005604484,0.017488076,0.003288136,0.015768026,0.003958918
prop-5-85.csv,0.835802723,0.875354497,0.875354497,0.840771251,0.842202275,0.840019308,0.324936654,0.566576087,0.686755323,0.333850187,0.327723051,0.329462329,0.137696215,0.114998213,0.112358354,0.136927639,0.137339568,0.136822985,0.643634814,0.705292941,0.645632007,0.646660326,0.655740784,0.637885084,0.024612268,0.048455629,0.090337729,0.025572085,0.073840402,0.022739904
xalan-2.5.csv,0.70637504,0.77820029,0.752324936,0.69913248,0.702627474,0.706877222,0.617021277,0.738684031,0.883716306,0.586335404,0.623758278,0.63542471,0.223262333,0.195862192,0.245255993,0.225079156,0.223039311,0.223366134,0.393870728,0.498222946,0.443918145,0.320113324,0.315924671,0.380111374,0.31332533,0.316254706,0.535097144,0.282386966,0.302619615,0.321392405
xalan-2.6.csv,0.835673703,0.860389268,0.842568377,0.816970376,0.824127963,0.836503026,0.63417811,0.674544525,0.837555312,0.471290047,0.626734469,0.630889461,0.170617749,0.157298596,0.189505818,0.189945414,0.174250918,0.166956133,0.274739048,0.327464471,0.33478558,0.456774812,0.30425382,0.277053398,0.140822418,0.133316161,0.338203182,0.093567251,0.191609245,0.140400158
